generation;fitness;q1;q2;home_venue;fitness_sum
1;296557;115000;90000;45000;290333099
2;206572;50000;75000;35000;270488770
3;189244;50000;60000;30000;249984355
4;172454;55000;55000;10000;237164075
5;153246;40000;55000;10000;227753661
6;150829;40000;50000;10000;221262359
7;126469;45000;20000;10000;215494555
8;126469;45000;20000;10000;215273420
9;126469;45000;20000;10000;211404835
10;121538;30000;20000;20000;208340886
11;121538;30000;20000;20000;205890832
12;114477;25000;40000;0;205469639
13;114477;25000;40000;0;205502330
14;114477;25000;40000;0;204703701
15;110524;25000;30000;5000;204563558
16;110524;25000;30000;5000;203284114
17;110524;25000;30000;5000;200660850
18;110524;25000;30000;5000;198526580
19;110524;25000;30000;5000;198610331
20;107262;30000;25000;5000;198501796
21;107262;30000;25000;5000;198107004
22;107262;30000;25000;5000;196194234
23;90056;15000;20000;5000;194481999
24;90056;15000;20000;5000;195414194
25;90056;15000;20000;5000;194011152
26;90056;15000;20000;5000;191898864
27;90056;15000;20000;5000;192383186
28;90056;15000;20000;5000;191765878
29;90056;15000;20000;5000;188574083
30;90056;15000;20000;5000;189697825
31;90056;15000;20000;5000;190676554
32;90056;15000;20000;5000;188708847
33;90056;15000;20000;5000;189461228
34;90056;15000;20000;5000;189185959
35;90056;15000;20000;5000;186107839
36;86949;20000;20000;0;184976906
37;85851;20000;15000;0;183695223
38;85851;20000;15000;0;184972452
39;85851;20000;15000;0;183908547
40;85851;20000;15000;0;181909870
41;85851;20000;15000;0;182915365
42;85851;20000;15000;0;182486271
43;85851;20000;15000;0;181705643
44;85851;20000;15000;0;180632567
45;85851;20000;15000;0;178840453
46;85851;20000;15000;0;178456024
47;85851;20000;15000;0;176112455
48;85851;20000;15000;0;177179450
49;85851;20000;15000;0;174130193
50;74851;15000;10000;0;176289634
51;74851;15000;10000;0;175403990
52;74851;15000;10000;0;172263231
53;74851;15000;10000;0;172399944
54;73111;5000;15000;5000;169769860
55;73111;5000;15000;5000;165540454
56;73111;5000;15000;5000;163701328
57;73111;5000;15000;5000;161268412
58;73111;5000;15000;5000;160282018
59;73111;5000;15000;5000;159590665
60;73111;5000;15000;5000;158711010
61;73111;5000;15000;5000;157905773
62;68037;5000;10000;5000;154104533
63;68037;5000;10000;5000;154354500
64;68037;5000;10000;5000;152619020
65;64272;5000;10000;0;154189347
66;64272;5000;10000;0;153500046
67;64272;5000;10000;0;151019022
68;64272;5000;10000;0;150852653
69;64272;5000;10000;0;152264419
70;64272;5000;10000;0;150192331
71;64272;5000;10000;0;147614240
72;58844;5000;5000;0;147795391
73;58844;5000;5000;0;148634599
74;58844;5000;5000;0;146352578
75;58844;5000;5000;0;144354700
76;58844;5000;5000;0;143864927
77;58844;5000;5000;0;142408840
78;58375;0;5000;5000;144087154
79;58375;0;5000;5000;140881774
80;58375;0;5000;5000;139638240
81;58375;0;5000;5000;141562299
82;58375;0;5000;5000;138493543
83;58375;0;5000;5000;137939428
84;58375;0;5000;5000;136971234
85;58375;0;5000;5000;135935011
86;58375;0;5000;5000;136256057
87;58375;0;5000;5000;136132962
88;58375;0;5000;5000;135848703
89;58375;0;5000;5000;135034512
90;58375;0;5000;5000;134118380
91;58375;0;5000;5000;134682559
92;58375;0;5000;5000;135353829
93;58375;0;5000;5000;136900065
94;58375;0;5000;5000;137234525
95;56042;5000;5000;0;136931293
96;56042;5000;5000;0;134918668
97;56042;5000;5000;0;133247856
98;56042;5000;5000;0;132971387
99;56042;5000;5000;0;132629198
100;54722;0;5000;0;133463422
101;54722;0;5000;0;133280548
102;50146;0;0;0;132012354
103;50146;0;0;0;132270599
104;50146;0;0;0;131788408
105;50146;0;0;0;131060999
106;50146;0;0;0;130520099
107;50146;0;0;0;131507343
108;50146;0;0;0;131132227
109;50146;0;0;0;131311105
110;50146;0;0;0;131753392
111;50146;0;0;0;129703133
112;50146;0;0;0;130655313
113;50146;0;0;0;129812018
114;50146;0;0;0;127236899
115;50146;0;0;0;128686036
116;50146;0;0;0;128756382
117;50146;0;0;0;127023359
118;50146;0;0;0;127551662
119;50146;0;0;0;130034742
120;50146;0;0;0;127875254
121;50146;0;0;0;127788783
122;50146;0;0;0;129970262
123;50146;0;0;0;129023175
124;50146;0;0;0;128569060
125;50146;0;0;0;127270084
126;50146;0;0;0;128958599
127;50146;0;0;0;127523353
128;50146;0;0;0;128122170
129;50146;0;0;0;129237547
130;50146;0;0;0;124948627
131;50146;0;0;0;126451929
132;50146;0;0;0;128542733
133;50146;0;0;0;126705780
134;50146;0;0;0;126229641
