generation;fitness;q1;q2;home_venue;fitness_sum
1;892452;235000;370000;95000;872038425
2;711903;165000;280000;60000;829147011
3;636650;140000;230000;70000;786615576
4;624003;140000;225000;60000;751265636
5;589547;120000;210000;55000;727869391
6;552504;100000;190000;45000;710228820
7;547424;100000;200000;40000;701004055
8;524519;95000;170000;55000;690670465
9;524519;95000;170000;55000;687807361
10;523345;95000;160000;60000;682090494
11;523345;95000;160000;60000;674092734
12;506122;80000;150000;60000;672480187
13;482010;80000;150000;45000;672009336
14;482010;80000;150000;45000;671639689
15;482010;80000;150000;45000;672662599
16;482010;80000;150000;45000;669059778
17;482010;80000;150000;45000;666392396
18;482010;80000;150000;45000;662416035
19;482010;80000;150000;45000;659662753
20;482010;80000;150000;45000;663292769
21;482010;80000;150000;45000;662533403
22;467689;90000;140000;25000;661584838
23;467689;90000;140000;25000;658149547
24;467689;90000;140000;25000;661535821
25;467689;90000;140000;25000;658886355
26;456201;55000;135000;55000;656045829
27;456201;55000;135000;55000;655078379
28;456201;55000;135000;55000;651407080
29;456201;55000;135000;55000;651369257
30;456201;55000;135000;55000;652212387
31;456201;55000;135000;55000;647751689
32;456201;55000;135000;55000;648773179
33;447901;65000;125000;60000;647495424
34;447901;65000;125000;60000;647254258
35;447901;65000;125000;60000;647764321
36;447901;65000;125000;60000;646710455
37;447901;65000;125000;60000;650453397
38;447901;65000;125000;60000;644457673
39;447901;65000;125000;60000;644041149
40;447901;65000;125000;60000;643527229
41;447901;65000;125000;60000;642850721
42;447901;65000;125000;60000;643274505
43;447901;65000;125000;60000;643999650
44;447901;65000;125000;60000;648509475
45;447901;65000;125000;60000;645481189
46;447901;65000;125000;60000;647053152
47;447901;65000;125000;60000;648267142
48;447901;65000;125000;60000;640830227
49;447901;65000;125000;60000;642475363
50;447901;65000;125000;60000;638689848
51;447901;65000;125000;60000;637451858
52;447901;65000;125000;60000;635923894
53;447901;65000;125000;60000;634112393
54;447901;65000;125000;60000;634138218
55;447901;65000;125000;60000;637444098
56;447901;65000;125000;60000;637030696
57;447901;65000;125000;60000;638087207
58;447901;65000;125000;60000;635626672
59;447901;65000;125000;60000;633493172
60;447901;65000;125000;60000;636064760
61;447901;65000;125000;60000;630586788
62;447901;65000;125000;60000;635918889
63;447901;65000;125000;60000;635107549
64;438349;60000;140000;30000;632033100
65;438349;60000;140000;30000;631583714
66;438349;60000;140000;30000;632343037
67;438349;60000;140000;30000;632070429
68;438349;60000;140000;30000;630225265
69;438349;60000;140000;30000;628206372
70;438349;60000;140000;30000;627128985
71;402445;45000;95000;55000;627316101
72;402445;45000;95000;55000;628140905
73;402445;45000;95000;55000;625271008
74;402445;45000;95000;55000;628513810
75;402445;45000;95000;55000;629253763
76;402445;45000;95000;55000;625409045
77;402445;45000;95000;55000;625695766
78;402445;45000;95000;55000;622227267
79;402445;45000;95000;55000;625014131
80;402445;45000;95000;55000;628657886
81;402445;45000;95000;55000;623164207
82;402445;45000;95000;55000;621190015
83;399589;55000;110000;35000;622654027
84;399589;55000;110000;35000;622097540
85;399589;55000;110000;35000;620790959
86;399589;55000;110000;35000;616824306
87;399589;55000;110000;35000;616182276
88;399589;55000;110000;35000;612645534
89;399589;55000;110000;35000;617773442
90;399589;55000;110000;35000;617490315
91;399589;55000;110000;35000;615139763
92;399589;55000;110000;35000;615624459
93;399589;55000;110000;35000;615094269
94;399589;55000;110000;35000;612858742
95;399589;55000;110000;35000;612928835
96;399589;55000;110000;35000;609717205
97;399589;55000;110000;35000;613551023
98;399589;55000;110000;35000;607331035
99;399589;55000;110000;35000;606621598
100;399589;55000;110000;35000;604950032
101;399589;55000;110000;35000;603096039
102;399589;55000;110000;35000;604736227
103;396621;35000;100000;55000;608571174
104;396621;35000;100000;55000;611350225
105;396621;35000;100000;55000;607584700
106;396621;35000;100000;55000;605232032
107;396621;35000;100000;55000;602932340
108;396621;35000;100000;55000;603584204
109;396621;35000;100000;55000;602670799
110;396621;35000;100000;55000;601541891
111;396621;35000;100000;55000;601083030
112;396621;35000;100000;55000;600200011
113;393716;45000;105000;25000;604394215
114;393716;45000;105000;25000;598451942
115;393716;45000;105000;25000;595449500
116;393716;45000;105000;25000;593716460
117;393716;45000;105000;25000;592713329
118;393716;45000;105000;25000;592435647
119;375885;35000;70000;55000;590665626
120;375885;35000;70000;55000;587422097
121;375885;35000;70000;55000;588688849
122;375885;35000;70000;55000;591082011
123;375885;35000;70000;55000;588179367
124;375885;35000;70000;55000;586928280
125;375885;35000;70000;55000;584127349
126;375885;35000;70000;55000;582993839
127;375885;35000;70000;55000;583621798
128;375885;35000;70000;55000;581194867
129;375885;35000;70000;55000;581722860
130;375885;35000;70000;55000;581695135
131;375885;35000;70000;55000;583635650
132;375885;35000;70000;55000;581725849
133;375885;35000;70000;55000;584746790
134;375885;35000;70000;55000;583100254
135;375885;35000;70000;55000;581528260
136;375885;35000;70000;55000;581947855
137;375885;35000;70000;55000;578733464
138;375885;35000;70000;55000;581372003
139;375885;35000;70000;55000;582762522
140;375885;35000;70000;55000;582498283
141;375885;35000;70000;55000;584584666
142;375885;35000;70000;55000;583910913
143;375885;35000;70000;55000;582655757
144;375885;35000;70000;55000;581595006
145;375885;35000;70000;55000;578350035
146;375885;35000;70000;55000;578313100
147;375885;35000;70000;55000;572662878
148;375885;35000;70000;55000;577867149
149;375885;35000;70000;55000;577132169
150;375885;35000;70000;55000;575584898
151;375885;35000;70000;55000;577106555
152;375885;35000;70000;55000;573191527
153;375885;35000;70000;55000;572310186
154;375885;35000;70000;55000;572474711
155;375885;35000;70000;55000;570341100
156;375885;35000;70000;55000;565007632
157;375885;35000;70000;55000;569651210
158;375885;35000;70000;55000;574552112
159;375885;35000;70000;55000;571773632
160;359473;40000;65000;55000;571778863
161;359473;40000;65000;55000;571425795
162;359473;40000;65000;55000;572597963
163;359473;40000;65000;55000;571825403
164;359473;40000;65000;55000;564765326
165;359473;40000;65000;55000;562126285
166;359473;40000;65000;55000;563329749
167;343110;30000;65000;30000;558834304
168;343110;30000;65000;30000;559277836
169;343110;30000;65000;30000;562831159
170;343110;30000;65000;30000;562995017
171;343110;30000;65000;30000;562191505
172;343110;30000;65000;30000;565488900
173;343110;30000;65000;30000;564904163
174;343110;30000;65000;30000;565494418
175;343110;30000;65000;30000;561775072
176;343110;30000;65000;30000;564193847
177;343110;30000;65000;30000;565304674
178;343110;30000;65000;30000;563046573
179;343110;30000;65000;30000;559784752
180;343110;30000;65000;30000;559351619
181;343110;30000;65000;30000;558259973
182;343110;30000;65000;30000;559114299
183;343110;30000;65000;30000;557004302
184;343110;30000;65000;30000;556051137
185;343110;30000;65000;30000;559279908
186;343110;30000;65000;30000;563584541
187;343110;30000;65000;30000;558699010
188;343110;30000;65000;30000;557692827
189;343110;30000;65000;30000;558501264
190;343110;30000;65000;30000;558252231
191;343110;30000;65000;30000;553595788
192;343110;30000;65000;30000;557918182
193;343110;30000;65000;30000;556081156
194;343110;30000;65000;30000;553394847
195;343110;30000;65000;30000;554608294
196;343110;30000;65000;30000;552685403
197;343110;30000;65000;30000;553575263
198;343110;30000;65000;30000;552331925
199;343110;30000;65000;30000;549088176
200;343110;30000;65000;30000;547178984
201;343110;30000;65000;30000;548843723
202;343110;30000;65000;30000;545485044
203;343110;30000;65000;30000;544670350
204;343110;30000;65000;30000;541547088
205;343110;30000;65000;30000;542178235
206;337228;25000;60000;40000;544004719
207;337228;25000;60000;40000;546424617
208;337228;25000;60000;40000;546098179
209;337228;25000;60000;40000;545725474
210;337228;25000;60000;40000;542240076
211;337228;25000;60000;40000;542336650
212;337228;25000;60000;40000;543522534
213;337228;25000;60000;40000;541001953
214;337228;25000;60000;40000;543617305
215;337228;25000;60000;40000;539059146
216;337228;25000;60000;40000;543061789
217;337228;25000;60000;40000;543174025
218;325260;35000;70000;20000;541495254
219;325260;35000;70000;20000;541724463
220;325260;35000;70000;20000;539982687
221;325260;35000;70000;20000;540789310
222;325260;35000;70000;20000;540855667
223;325260;35000;70000;20000;539949748
224;325260;35000;70000;20000;532566063
225;325260;35000;70000;20000;530446801
226;325260;35000;70000;20000;533136240
227;325260;35000;70000;20000;534261319
228;325260;35000;70000;20000;533541409
229;325260;35000;70000;20000;538078955
230;325260;35000;70000;20000;537273470
231;325260;35000;70000;20000;537493594
232;325260;35000;70000;20000;532305981
233;325260;35000;70000;20000;534932302
234;325260;35000;70000;20000;532598237
235;325260;35000;70000;20000;531073108
236;325260;35000;70000;20000;534139133
237;325260;35000;70000;20000;534377378
238;325260;35000;70000;20000;533515858
239;325260;35000;70000;20000;531617956
240;325260;35000;70000;20000;534485327
241;325260;35000;70000;20000;530912906
242;325260;35000;70000;20000;534477468
243;325260;35000;70000;20000;527299946
244;325260;35000;70000;20000;528635121
245;325260;35000;70000;20000;527928730
246;325260;35000;70000;20000;527898529
247;325260;35000;70000;20000;529201933
248;325260;35000;70000;20000;525497485
249;325260;35000;70000;20000;522694025
250;325260;35000;70000;20000;519495916
251;324847;30000;55000;25000;520760944
252;324847;30000;55000;25000;521365963
253;324847;30000;55000;25000;522743958
254;319033;15000;60000;30000;516845444
255;303819;15000;55000;25000;513458138
256;303819;15000;55000;25000;515641062
257;303819;15000;55000;25000;513644237
258;303819;15000;55000;25000;516969470
259;303819;15000;55000;25000;521567533
260;303819;15000;55000;25000;523850462
261;303819;15000;55000;25000;522130483
262;303819;15000;55000;25000;526314425
263;303819;15000;55000;25000;520051240
264;303819;15000;55000;25000;516414993
265;303819;15000;55000;25000;521826825
266;303819;15000;55000;25000;517855964
267;303819;15000;55000;25000;518136535
268;303819;15000;55000;25000;520763230
269;303819;15000;55000;25000;518648844
270;303819;15000;55000;25000;513718451
271;303819;15000;55000;25000;513200688
272;303819;15000;55000;25000;515344099
273;303819;15000;55000;25000;511889226
274;303819;15000;55000;25000;511994772
275;303819;15000;55000;25000;512487355
276;303819;15000;55000;25000;509641346
277;303819;15000;55000;25000;505098697
278;303819;15000;55000;25000;506784411
279;303819;15000;55000;25000;506963390
280;303819;15000;55000;25000;504272586
281;303819;15000;55000;25000;504531941
282;303819;15000;55000;25000;500921934
283;303819;15000;55000;25000;500393250
284;303819;15000;55000;25000;496664777
285;303819;15000;55000;25000;498539711
286;303819;15000;55000;25000;498309779
287;303819;15000;55000;25000;500979573
288;303819;15000;55000;25000;503083552
289;303819;15000;55000;25000;506098265
290;303819;15000;55000;25000;503730073
291;303819;15000;55000;25000;503993981
292;303819;15000;55000;25000;504856677
293;303819;15000;55000;25000;501851897
294;303819;15000;55000;25000;500343895
295;303819;15000;55000;25000;499744061
296;303819;15000;55000;25000;500149838
297;303819;15000;55000;25000;503006810
298;303819;15000;55000;25000;499290818
299;303819;15000;55000;25000;499408423
