generation;fitness;q1;q2;home_venue;fitness_sum
1;863824;335000;280000;75000;854515285
2;690482;235000;235000;45000;818323261
3;652085;250000;180000;45000;784759139
4;644875;220000;190000;55000;758931888
5;637653;230000;190000;40000;738572224
6;586047;185000;185000;35000;726600532
7;575634;205000;155000;35000;719254154
8;554458;200000;130000;45000;709071861
9;554458;200000;130000;45000;700761450
10;554458;200000;130000;45000;701412434
11;554458;200000;130000;45000;696524741
12;553426;210000;145000;25000;695477893
13;536041;190000;140000;30000;688925977
14;536041;190000;140000;30000;687690183
15;536041;190000;140000;30000;685090613
16;520353;160000;155000;35000;684254038
17;506380;175000;150000;10000;681831210
18;506380;175000;150000;10000;682446554
19;506380;175000;150000;10000;680841136
20;506380;175000;150000;10000;680278155
21;506380;175000;150000;10000;678187214
22;506380;175000;150000;10000;682575741
23;506380;175000;150000;10000;677769484
24;506380;175000;150000;10000;679814912
25;497900;160000;125000;40000;676343645
26;497900;160000;125000;40000;674437511
27;497900;160000;125000;40000;679245017
28;497900;160000;125000;40000;677044967
29;497900;160000;125000;40000;676528399
30;497900;160000;125000;40000;668957175
31;497900;160000;125000;40000;669261608
32;497900;160000;125000;40000;670153059
33;497900;160000;125000;40000;669893807
34;497900;160000;125000;40000;668380584
35;497900;160000;125000;40000;667161136
36;475345;145000;120000;25000;665899582
37;475345;145000;120000;25000;667482181
38;474351;150000;110000;25000;658797198
39;474351;150000;110000;25000;659815016
40;474351;150000;110000;25000;662808777
41;474351;150000;110000;25000;661138807
42;474351;150000;110000;25000;657135152
43;474351;150000;110000;25000;656666062
44;474351;150000;110000;25000;654102730
45;464179;125000;140000;25000;650893428
46;464179;125000;140000;25000;649059166
47;464179;125000;140000;25000;651090164
48;464179;125000;140000;25000;647197607
49;464179;125000;140000;25000;648184950
50;461313;170000;105000;10000;647331499
51;461313;170000;105000;10000;647976357
52;461313;170000;105000;10000;645833574
53;461313;170000;105000;10000;643689224
54;461313;170000;105000;10000;644723956
55;461313;170000;105000;10000;642457976
56;461313;170000;105000;10000;643791990
57;461313;170000;105000;10000;641099259
58;461313;170000;105000;10000;640461149
59;451120;145000;115000;30000;635079149
60;451120;145000;115000;30000;636440027
61;451120;145000;115000;30000;634346000
62;451120;145000;115000;30000;634159425
63;451120;145000;115000;30000;632926303
64;451120;145000;115000;30000;630101267
65;426652;115000;110000;25000;628318563
66;426652;115000;110000;25000;627792526
67;426652;115000;110000;25000;627154771
68;426652;115000;110000;25000;626321209
69;426652;115000;110000;25000;626333773
70;426652;115000;110000;25000;622477039
71;426652;115000;110000;25000;623121799
72;426652;115000;110000;25000;618350122
73;426652;115000;110000;25000;617855818
74;426652;115000;110000;25000;616488389
75;426652;115000;110000;25000;611860610
76;426652;115000;110000;25000;608631527
77;426652;115000;110000;25000;610905999
78;426652;115000;110000;25000;604727185
79;426652;115000;110000;25000;609147881
80;426652;115000;110000;25000;607355185
81;423379;140000;75000;35000;604843465
82;423379;140000;75000;35000;603833326
83;423379;140000;75000;35000;602447414
84;402011;110000;100000;20000;600222225
85;402011;110000;100000;20000;598068370
86;397726;90000;110000;30000;594469074
87;397726;90000;110000;30000;593190558
88;397726;90000;110000;30000;594631331
89;397726;90000;110000;30000;589853202
90;397726;90000;110000;30000;592054955
91;397726;90000;110000;30000;592491224
92;397726;90000;110000;30000;592132275
93;397726;90000;110000;30000;590781944
94;397726;90000;110000;30000;587257004
95;397726;90000;110000;30000;583060204
96;397726;90000;110000;30000;581099754
97;397726;90000;110000;30000;580633341
98;397726;90000;110000;30000;579185786
99;397726;90000;110000;30000;575764725
100;397726;90000;110000;30000;578066967
101;397726;90000;110000;30000;577082042
102;397726;90000;110000;30000;575989308
103;397726;90000;110000;30000;573357269
104;392826;100000;95000;20000;572464746
105;388700;125000;85000;10000;571149531
106;388700;125000;85000;10000;565651411
107;388700;125000;85000;10000;565369848
108;388700;125000;85000;10000;562274528
109;370758;90000;105000;5000;566103565
110;370758;90000;105000;5000;564400358
111;370758;90000;105000;5000;563469567
112;370758;90000;105000;5000;559354665
113;370758;90000;105000;5000;558937940
114;370758;90000;105000;5000;554257483
115;370758;90000;105000;5000;549753046
116;370758;90000;105000;5000;550014331
117;370758;90000;105000;5000;548882483
118;370758;90000;105000;5000;547325406
119;360518;100000;75000;15000;549591358
120;358671;90000;90000;10000;551039788
121;358671;90000;90000;10000;549373317
122;358671;90000;90000;10000;550091755
123;358671;90000;90000;10000;544969949
124;358671;90000;90000;10000;544457423
125;358671;90000;90000;10000;542455527
126;337681;75000;70000;20000;539099297
127;337681;75000;70000;20000;536112526
128;337681;75000;70000;20000;536573636
129;337681;75000;70000;20000;536575292
