generation;fitness;q1;q2;home_venue;fitness_sum
133;4323472;1915000;1450000;175000;756685041
134;4323472;1915000;1450000;175000;736003619
135;4323472;1915000;1450000;175000;755293784
136;4323472;1915000;1450000;175000;759035720
137;4323472;1915000;1450000;175000;743051592
138;4316080;1870000;1480000;195000;745612405
139;4316080;1870000;1480000;195000;740167015
140;4316080;1870000;1480000;195000;747252330
141;4316080;1870000;1480000;195000;751780442
142;4316080;1870000;1480000;195000;743379751
143;4316080;1870000;1480000;195000;732045421
144;4316080;1870000;1480000;195000;731447891
145;4316080;1870000;1480000;195000;745744161
146;4316080;1870000;1480000;195000;740918908
147;4316080;1870000;1480000;195000;744282591
148;4316080;1870000;1480000;195000;743905094
149;4316080;1870000;1480000;195000;741472485
150;4316080;1870000;1480000;195000;733832370
151;4316080;1870000;1480000;195000;745233869
152;4316080;1870000;1480000;195000;745687748
153;4316080;1870000;1480000;195000;747341131
154;4316080;1870000;1480000;195000;749749264
155;4316080;1870000;1480000;195000;736682687
156;4316080;1870000;1480000;195000;739007906
157;4316080;1870000;1480000;195000;749772035
158;4316080;1870000;1480000;195000;736084466
159;4316080;1870000;1480000;195000;740246636
160;4316080;1870000;1480000;195000;727170761
161;4316080;1870000;1480000;195000;713850930
162;4316080;1870000;1480000;195000;713537387
163;4316080;1870000;1480000;195000;725173130
164;4316080;1870000;1480000;195000;725846999
165;4316080;1870000;1480000;195000;728415003
166;4316080;1870000;1480000;195000;727952151
167;4316080;1870000;1480000;195000;740981607
168;4316080;1870000;1480000;195000;738976536
169;4316080;1870000;1480000;195000;735132276
170;4316080;1870000;1480000;195000;730194670
171;4316080;1870000;1480000;195000;726908333
172;4316080;1870000;1480000;195000;723128130
173;4316080;1870000;1480000;195000;724111044
174;4316080;1870000;1480000;195000;717770966
175;4316080;1870000;1480000;195000;724474927
176;4316080;1870000;1480000;195000;734533148
177;4316080;1870000;1480000;195000;728609926
178;4316080;1870000;1480000;195000;728828224
179;4316080;1870000;1480000;195000;713414105
180;4316080;1870000;1480000;195000;712798821
181;4316080;1870000;1480000;195000;717007845
182;4316080;1870000;1480000;195000;727799032
183;4316080;1870000;1480000;195000;723130121
184;4316080;1870000;1480000;195000;718631684
185;4316080;1870000;1480000;195000;721382479
186;4316080;1870000;1480000;195000;716379872
187;4316080;1870000;1480000;195000;715802464
188;4316080;1870000;1480000;195000;724707174
189;4316080;1870000;1480000;195000;717365486
190;4316080;1870000;1480000;195000;715190065
191;4316080;1870000;1480000;195000;712248117
192;4316080;1870000;1480000;195000;724850218
193;4316080;1870000;1480000;195000;730542971
194;4316080;1870000;1480000;195000;724155749
195;4316080;1870000;1480000;195000;724292060
196;4316080;1870000;1480000;195000;738957758
197;4316080;1870000;1480000;195000;725270444
198;4316080;1870000;1480000;195000;721924676
199;4316080;1870000;1480000;195000;709513018
200;4316080;1870000;1480000;195000;704559868
201;4316080;1870000;1480000;195000;716742529
202;4316080;1870000;1480000;195000;715233363
203;4316080;1870000;1480000;195000;708621722
204;4316080;1870000;1480000;195000;716163172
205;4316080;1870000;1480000;195000;711486887
206;4316080;1870000;1480000;195000;713114636
207;4316080;1870000;1480000;195000;697553714
208;4316080;1870000;1480000;195000;704107063
209;4316080;1870000;1480000;195000;706198389
210;4316080;1870000;1480000;195000;713737126
211;4316080;1870000;1480000;195000;706582611
212;4316080;1870000;1480000;195000;691122756
213;4316080;1870000;1480000;195000;703770866
214;4316080;1870000;1480000;195000;694378194
215;4316080;1870000;1480000;195000;692303924
216;4316080;1870000;1480000;195000;701421883
217;4316080;1870000;1480000;195000;701691928
218;4316080;1870000;1480000;195000;690616551
219;4316080;1870000;1480000;195000;677117393
220;4316080;1870000;1480000;195000;693605096
221;4316080;1870000;1480000;195000;689593719
222;4316080;1870000;1480000;195000;693615845
223;4316080;1870000;1480000;195000;686426580
224;4315375;1835000;1530000;155000;691478203
225;4315375;1835000;1530000;155000;692181188
226;4315375;1835000;1530000;155000;695066463
227;4315375;1835000;1530000;155000;688351794
228;4315375;1835000;1530000;155000;688659282
229;4315375;1835000;1530000;155000;690448175
230;4315375;1835000;1530000;155000;690482186
231;4315375;1835000;1530000;155000;689626502
232;4315375;1835000;1530000;155000;681644440
233;4315375;1835000;1530000;155000;687663343
234;4315375;1835000;1530000;155000;687456924
235;4315375;1835000;1530000;155000;690007320
236;4314154;1885000;1445000;210000;687373569
237;4314154;1885000;1445000;210000;683141472
238;4314154;1885000;1445000;210000;671616863
239;4314154;1885000;1445000;210000;667551158
240;4314154;1885000;1445000;210000;676726437
241;4314154;1885000;1445000;210000;697150237
242;4314154;1885000;1445000;210000;685831591
243;4314154;1885000;1445000;210000;671010734
244;4314154;1885000;1445000;210000;676262784
245;4314154;1885000;1445000;210000;675367638
246;4314154;1885000;1445000;210000;682049865
247;4314154;1885000;1445000;210000;676137288
248;4291577;1840000;1510000;160000;681851325
249;4291577;1840000;1510000;160000;682710654
250;4291577;1840000;1510000;160000;684183475
251;4291577;1840000;1510000;160000;681506974
252;4291577;1840000;1510000;160000;680362318
253;4291577;1840000;1510000;160000;674637803
254;4291577;1840000;1510000;160000;676718910
255;4291577;1840000;1510000;160000;687523870
256;4291577;1840000;1510000;160000;683580674
257;4291577;1840000;1510000;160000;683116140
258;4291577;1840000;1510000;160000;669968385
259;4291577;1840000;1510000;160000;666598766
260;4291577;1840000;1510000;160000;680529099
261;4291577;1840000;1510000;160000;680396266
262;4291577;1840000;1510000;160000;680309690
263;4291577;1840000;1510000;160000;672224631
264;4291577;1840000;1510000;160000;667498708
265;4291577;1840000;1510000;160000;664672756
266;4291577;1840000;1510000;160000;658888604
267;4291577;1840000;1510000;160000;658889783
268;4230989;1845000;1430000;185000;656641319
269;4230989;1845000;1430000;185000;649298440
270;4230989;1845000;1430000;185000;650032635
271;4230989;1845000;1430000;185000;644523148
272;4230989;1845000;1430000;185000;654564306
273;4230989;1845000;1430000;185000;657005948
274;4230989;1845000;1430000;185000;645265114
275;4230989;1845000;1430000;185000;650020352
276;4230989;1845000;1430000;185000;644824178
277;4230989;1845000;1430000;185000;645343243
278;4230989;1845000;1430000;185000;648806713
279;4230989;1845000;1430000;185000;642456197
280;4230989;1845000;1430000;185000;651054978
281;4230989;1845000;1430000;185000;651995060
282;4230989;1845000;1430000;185000;647864572
283;4230989;1845000;1430000;185000;655111442
284;4230989;1845000;1430000;185000;667088836
285;4230989;1845000;1430000;185000;660152323
286;4230989;1845000;1430000;185000;653261335
287;4230989;1845000;1430000;185000;645091681
288;4230989;1845000;1430000;185000;645801402
289;4230989;1845000;1430000;185000;644105694
290;4230989;1845000;1430000;185000;638647666
291;4230989;1845000;1430000;185000;636575905
292;4230989;1845000;1430000;185000;651073052
293;4230989;1845000;1430000;185000;639364622
294;4230989;1845000;1430000;185000;645310629
295;4230989;1845000;1430000;185000;648233891
296;4230989;1845000;1430000;185000;653441484
297;4230989;1845000;1430000;185000;649630654
298;4230989;1845000;1430000;185000;646621111
299;4230989;1845000;1430000;185000;645208773
300;4230989;1845000;1430000;185000;640770021
301;4230989;1845000;1430000;185000;629032020
302;4230989;1845000;1430000;185000;627313276
303;4230989;1845000;1430000;185000;633042977
304;4230989;1845000;1430000;185000;637192488
305;4230989;1845000;1430000;185000;626627130
306;4230989;1845000;1430000;185000;633864204
307;4230989;1845000;1430000;185000;629585398
308;4230989;1845000;1430000;185000;629878582
309;4230989;1845000;1430000;185000;635783313
310;4230989;1845000;1430000;185000;640957032
311;4230989;1845000;1430000;185000;630198201
312;4230989;1845000;1430000;185000;629145102
313;4230989;1845000;1430000;185000;633566059
314;4230989;1845000;1430000;185000;637556550
315;4230989;1845000;1430000;185000;626865908
316;4230989;1845000;1430000;185000;630572318
317;4230989;1845000;1430000;185000;631224428
318;4230989;1845000;1430000;185000;645573703
319;4230989;1845000;1430000;185000;629501123
320;4230989;1845000;1430000;185000;630853567
321;4230989;1845000;1430000;185000;622911640
322;4230989;1845000;1430000;185000;623276922
323;4230989;1845000;1430000;185000;629138668
324;4230989;1845000;1430000;185000;632737693
325;4230989;1845000;1430000;185000;625800743
326;4230989;1845000;1430000;185000;626923515
327;4230989;1845000;1430000;185000;628005188
328;4230989;1845000;1430000;185000;621479691
329;4230989;1845000;1430000;185000;609413274
330;4230989;1845000;1430000;185000;612495193
331;4230989;1845000;1430000;185000;610566700
332;4230989;1845000;1430000;185000;626890938
333;4230989;1845000;1430000;185000;624031971
334;4230989;1845000;1430000;185000;630780561
335;4230989;1845000;1430000;185000;628352901
336;4230989;1845000;1430000;185000;618252047
337;4230989;1845000;1430000;185000;619138933
338;4230989;1845000;1430000;185000;622925085
339;4230989;1845000;1430000;185000;621892199
340;4230989;1845000;1430000;185000;618190565
341;4213242;1760000;1480000;200000;620515790
342;4153857;1725000;1485000;165000;624623526
343;4153857;1725000;1485000;165000;620658224
344;4153857;1725000;1485000;165000;618905536
345;4153857;1725000;1485000;165000;615038071
346;4153857;1725000;1485000;165000;601833617
347;4153857;1725000;1485000;165000;606752110
348;4153857;1725000;1485000;165000;605496570
349;4096439;1725000;1450000;155000;602476520
350;4096439;1725000;1450000;155000;612566772
351;4096439;1725000;1450000;155000;598373186
352;4096439;1725000;1450000;155000;593782398
353;4096439;1725000;1450000;155000;590465681
354;4096439;1725000;1450000;155000;582960430
355;4096439;1725000;1450000;155000;587351407
356;4096439;1725000;1450000;155000;599516790
357;4096439;1725000;1450000;155000;605809844
358;4096439;1725000;1450000;155000;602773005
359;4096439;1725000;1450000;155000;590753341
360;4096439;1725000;1450000;155000;586122811
361;4096439;1725000;1450000;155000;592327503
362;4096439;1725000;1450000;155000;597685606
363;4096439;1725000;1450000;155000;603671863
364;4096439;1725000;1450000;155000;591493933
365;4096439;1725000;1450000;155000;597154905
366;4096439;1725000;1450000;155000;591791584
367;4096439;1725000;1450000;155000;595558201
368;4096439;1725000;1450000;155000;590162309
369;4096439;1725000;1450000;155000;587819944
370;4096439;1725000;1450000;155000;586087906
371;4096439;1725000;1450000;155000;590685311
372;4096439;1725000;1450000;155000;586952130
373;4096439;1725000;1450000;155000;581903135
374;4096439;1725000;1450000;155000;589151892
375;4096439;1725000;1450000;155000;586489864
376;4096439;1725000;1450000;155000;591173943
377;4096439;1725000;1450000;155000;567984882
378;4096439;1725000;1450000;155000;573550672
379;4096439;1725000;1450000;155000;575341235
380;4096439;1725000;1450000;155000;584628994
381;4096439;1725000;1450000;155000;586825147
382;4096439;1725000;1450000;155000;591770195
383;4096439;1725000;1450000;155000;583725965
384;4096439;1725000;1450000;155000;583415429
385;4096439;1725000;1450000;155000;585539200
386;4096439;1725000;1450000;155000;582327031
387;4096439;1725000;1450000;155000;588150331
388;4096439;1725000;1450000;155000;588475140
389;4096439;1725000;1450000;155000;579903834
390;4096439;1725000;1450000;155000;582528955
391;4096439;1725000;1450000;155000;579089278
392;4096439;1725000;1450000;155000;589205147
393;4096439;1725000;1450000;155000;571727182
394;4096439;1725000;1450000;155000;566590587
395;4096439;1725000;1450000;155000;587934045
396;4096439;1725000;1450000;155000;571255613
397;4096439;1725000;1450000;155000;566180498
398;4096439;1725000;1450000;155000;568541892
399;4096439;1725000;1450000;155000;577274195
400;4096439;1725000;1450000;155000;580476727
401;4096439;1725000;1450000;155000;572897930
402;4096439;1725000;1450000;155000;577278083
403;4096439;1725000;1450000;155000;575424968
404;4096439;1725000;1450000;155000;576671406
405;4096439;1725000;1450000;155000;566046515
406;4096439;1725000;1450000;155000;566439541
407;4096439;1725000;1450000;155000;562890376
408;4096439;1725000;1450000;155000;566101348
409;4096439;1725000;1450000;155000;571772513
410;4096439;1725000;1450000;155000;568216599
411;4096439;1725000;1450000;155000;575575477
412;4096439;1725000;1450000;155000;562761883
413;4096439;1725000;1450000;155000;561516376
414;4096439;1725000;1450000;155000;556415493
415;4096439;1725000;1450000;155000;561836866
416;4028233;1705000;1425000;130000;563886776
417;4028233;1705000;1425000;130000;542374752
418;4028233;1705000;1425000;130000;560587851
419;4028233;1705000;1425000;130000;558183061
420;4028233;1705000;1425000;130000;561410864
421;4028233;1705000;1425000;130000;561705545
422;4028233;1705000;1425000;130000;562049255
423;4028233;1705000;1425000;130000;554155503
424;4028233;1705000;1425000;130000;562635655
425;4028233;1705000;1425000;130000;562798773
426;4028233;1705000;1425000;130000;556528823
427;4028233;1705000;1425000;130000;546396272
428;4028233;1705000;1425000;130000;548908001
429;4028233;1705000;1425000;130000;556383357
430;4028233;1705000;1425000;130000;547896028
431;4028233;1705000;1425000;130000;544605087
432;4028233;1705000;1425000;130000;545677342
433;4028233;1705000;1425000;130000;550286931
434;4028233;1705000;1425000;130000;537661296
435;4028233;1705000;1425000;130000;548024409
436;4028233;1705000;1425000;130000;541691199
437;4028233;1705000;1425000;130000;541064800
438;4028233;1705000;1425000;130000;538778368
439;4028233;1705000;1425000;130000;542613048
440;4028233;1705000;1425000;130000;530007883
441;4028233;1705000;1425000;130000;531166977
442;4028233;1705000;1425000;130000;540169968
443;4028233;1705000;1425000;130000;534426642
444;4028233;1705000;1425000;130000;530927315
445;4028233;1705000;1425000;130000;535268469
446;4028233;1705000;1425000;130000;527649520
447;4028233;1705000;1425000;130000;531368706
448;4028233;1705000;1425000;130000;523606832
449;4028233;1705000;1425000;130000;520551671
450;4028233;1705000;1425000;130000;534698625
451;4028233;1705000;1425000;130000;529279621
452;4028233;1705000;1425000;130000;545246434
453;4028233;1705000;1425000;130000;538668842
454;4028233;1705000;1425000;130000;542953667
455;4028233;1705000;1425000;130000;529719155
456;4028233;1705000;1425000;130000;527872353
457;4028233;1705000;1425000;130000;528917768
458;4028233;1705000;1425000;130000;525647477
459;4028233;1705000;1425000;130000;513731028
460;4028233;1705000;1425000;130000;510994221
461;4028233;1705000;1425000;130000;505337134
462;4028233;1705000;1425000;130000;522428784
463;4028233;1705000;1425000;130000;515177140
464;4028233;1705000;1425000;130000;513840642
465;4028233;1705000;1425000;130000;519532045
466;4028233;1705000;1425000;130000;527309899
467;4028233;1705000;1425000;130000;512163742
468;4028233;1705000;1425000;130000;512759232
469;4028233;1705000;1425000;130000;505788424
470;4028233;1705000;1425000;130000;505332259
471;4028233;1705000;1425000;130000;505594401
472;4028233;1705000;1425000;130000;500523948
473;4028233;1705000;1425000;130000;494904730
474;4028233;1705000;1425000;130000;507548876
475;4028233;1705000;1425000;130000;495813794
476;4028233;1705000;1425000;130000;499776010
477;4028233;1705000;1425000;130000;501528286
478;4028233;1705000;1425000;130000;497239597
479;4028233;1705000;1425000;130000;494182063
480;4028233;1705000;1425000;130000;498137526
481;4028233;1705000;1425000;130000;494575378
482;4028233;1705000;1425000;130000;482962264
483;4028233;1705000;1425000;130000;495566808
484;4028233;1705000;1425000;130000;495710179
485;4028233;1705000;1425000;130000;508307351
486;4028233;1705000;1425000;130000;506255251
487;4028233;1705000;1425000;130000;512198313
488;4028233;1705000;1425000;130000;509916453
489;4028233;1705000;1425000;130000;509952943
490;4028233;1705000;1425000;130000;503890114
491;4028233;1705000;1425000;130000;497597806
492;4028233;1705000;1425000;130000;499585020
493;4028233;1705000;1425000;130000;496820299
