
Generation: 1 && Fitness individual 0: 231557, home_venue: 45000, q1: 50000, q2: 90000
Generation: 2 && Fitness individual 0: 134207, home_venue: 25000, q1: 15000, q2: 45000
Generation: 3 && Fitness individual 0: 134207, home_venue: 25000, q1: 15000, q2: 45000
Generation: 4 && Fitness individual 0: 110864, home_venue: 15000, q1: 5000, q2: 40000
Generation: 5 && Fitness individual 0: 110864, home_venue: 15000, q1: 5000, q2: 40000
Generation: 6 && Fitness individual 0: 110864, home_venue: 15000, q1: 5000, q2: 40000
Generation: 7 && Fitness individual 0: 110864, home_venue: 15000, q1: 5000, q2: 40000
Generation: 8 && Fitness individual 0: 100308, home_venue: 15000, q1: 15000, q2: 25000
Generation: 9 && Fitness individual 0: 100308, home_venue: 15000, q1: 15000, q2: 25000
Generation: 10 && Fitness individual 0: 87964, home_venue: 15000, q1: 5000, q2: 20000
Generation: 11 && Fitness individual 0: 87964, home_venue: 15000, q1: 5000, q2: 20000
Generation: 12 && Fitness individual 0: 87736, home_venue: 10000, q1: 0, q2: 25000
Generation: 13 && Fitness individual 0: 87736, home_venue: 10000, q1: 0, q2: 25000
Generation: 14 && Fitness individual 0: 87736, home_venue: 10000, q1: 0, q2: 25000
Generation: 15 && Fitness individual 0: 87736, home_venue: 10000, q1: 0, q2: 25000
Generation: 16 && Fitness individual 0: 85537, home_venue: 25000, q1: 0, q2: 10000
Generation: 17 && Fitness individual 0: 85537, home_venue: 25000, q1: 0, q2: 10000
Generation: 18 && Fitness individual 0: 85537, home_venue: 25000, q1: 0, q2: 10000
Generation: 19 && Fitness individual 0: 80303, home_venue: 5000, q1: 5000, q2: 20000
Generation: 20 && Fitness individual 0: 80303, home_venue: 5000, q1: 5000, q2: 20000
Generation: 21 && Fitness individual 0: 80303, home_venue: 5000, q1: 5000, q2: 20000
Generation: 22 && Fitness individual 0: 79355, home_venue: 5000, q1: 5000, q2: 20000
Generation: 23 && Fitness individual 0: 79355, home_venue: 5000, q1: 5000, q2: 20000
Generation: 24 && Fitness individual 0: 79355, home_venue: 5000, q1: 5000, q2: 20000
Generation: 25 && Fitness individual 0: 79355, home_venue: 5000, q1: 5000, q2: 20000
Generation: 26 && Fitness individual 0: 79355, home_venue: 5000, q1: 5000, q2: 20000
Generation: 27 && Fitness individual 0: 79355, home_venue: 5000, q1: 5000, q2: 20000
Generation: 28 && Fitness individual 0: 75938, home_venue: 15000, q1: 0, q2: 10000
Generation: 29 && Fitness individual 0: 75938, home_venue: 15000, q1: 0, q2: 10000
Generation: 30 && Fitness individual 0: 75509, home_venue: 0, q1: 0, q2: 25000
Generation: 31 && Fitness individual 0: 75509, home_venue: 0, q1: 0, q2: 25000
Generation: 32 && Fitness individual 0: 73099, home_venue: 15000, q1: 5000, q2: 5000
Generation: 33 && Fitness individual 0: 73099, home_venue: 15000, q1: 5000, q2: 5000
Generation: 34 && Fitness individual 0: 73099, home_venue: 15000, q1: 5000, q2: 5000
Generation: 35 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 36 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 37 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 38 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 39 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 40 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 41 && Fitness individual 0: 63304, home_venue: 0, q1: 0, q2: 15000
Generation: 42 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 43 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 44 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 45 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 46 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 47 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 48 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 49 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 50 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 51 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 52 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 53 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 54 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 55 && Fitness individual 0: 59778, home_venue: 0, q1: 0, q2: 10000
Generation: 56 && Fitness individual 0: 55966, home_venue: 0, q1: 0, q2: 5000
Generation: 57 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 58 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 59 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 60 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 61 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 62 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 63 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 64 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 65 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 66 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 67 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 68 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 69 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 70 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 71 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 72 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 73 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 74 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 75 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 76 && Fitness individual 0: 53024, home_venue: 0, q1: 0, q2: 5000
Generation: 77 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 78 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 79 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 80 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 81 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 82 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 83 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 84 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 85 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 86 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 87 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 88 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 89 && Fitness individual 0: 50386, home_venue: 0, q1: 0, q2: 0
Generation: 90 && Fitness individual 0: 49153, home_venue: 0, q1: 0, q2: 0
Generation: 91 && Fitness individual 0: 49153, home_venue: 0, q1: 0, q2: 0
Generation: 92 && Fitness individual 0: 49153, home_venue: 0, q1: 0, q2: 0
Generation: 93 && Fitness individual 0: 49153, home_venue: 0, q1: 0, q2: 0
Generation: 94 && Fitness individual 0: 47368, home_venue: 0, q1: 0, q2: 0
Generation: 95 && Fitness individual 0: 47368, home_venue: 0, q1: 0, q2: 0
Generation: 96 && Fitness individual 0: 47368, home_venue: 0, q1: 0, q2: 0
Generation: 97 && Fitness individual 0: 47368, home_venue: 0, q1: 0, q2: 0
Generation: 98 && Fitness individual 0: 47368, home_venue: 0, q1: 0, q2: 0
Generation: 99 && Fitness individual 0: 46948, home_venue: 0, q1: 0, q2: 0
Generation: 100 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 101 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 102 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 103 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 104 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 105 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 106 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 107 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 108 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 109 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 110 && Fitness individual 0: 45951, home_venue: 0, q1: 0, q2: 0
Generation: 111 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 112 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 113 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 114 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 115 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 116 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 117 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 118 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 119 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 120 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 121 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 122 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 123 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 124 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 125 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 126 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 127 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 128 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 129 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 130 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 131 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 132 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 133 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 134 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 135 && Fitness individual 0: 45021, home_venue: 0, q1: 0, q2: 0
Generation: 136 && Fitness individual 0: 44653, home_venue: 0, q1: 0, q2: 0
Generation: 137 && Fitness individual 0: 44358, home_venue: 0, q1: 0, q2: 0
Generation: 138 && Fitness individual 0: 44358, home_venue: 0, q1: 0, q2: 0
Generation: 139 && Fitness individual 0: 44358, home_venue: 0, q1: 0, q2: 0
Generation: 140 && Fitness individual 0: 44358, home_venue: 0, q1: 0, q2: 0
Generation: 141 && Fitness individual 0: 44358, home_venue: 0, q1: 0, q2: 0
Generation: 142 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 143 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 144 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 145 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 146 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 147 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 148 && Fitness individual 0: 44056, home_venue: 0, q1: 0, q2: 0
Generation: 149 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 150 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 151 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 152 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 153 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 154 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 155 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 156 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 157 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 158 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 159 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 160 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 161 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 162 && Fitness individual 0: 43262, home_venue: 0, q1: 0, q2: 0
Generation: 163 && Fitness individual 0: 42930, home_venue: 0, q1: 0, q2: 0
Generation: 164 && Fitness individual 0: 42930, home_venue: 0, q1: 0, q2: 0
Generation: 165 && Fitness individual 0: 42930, home_venue: 0, q1: 0, q2: 0
Generation: 166 && Fitness individual 0: 42930, home_venue: 0, q1: 0, q2: 0
Generation: 167 && Fitness individual 0: 42320, home_venue: 0, q1: 0, q2: 0
Generation: 168 && Fitness individual 0: 42320, home_venue: 0, q1: 0, q2: 0
Generation: 169 && Fitness individual 0: 42320, home_venue: 0, q1: 0, q2: 0
Generation: 170 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 171 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 172 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 173 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 174 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 175 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 176 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 177 && Fitness individual 0: 42056, home_venue: 0, q1: 0, q2: 0
Generation: 178 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 179 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 180 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 181 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 182 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 183 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 184 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 185 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 186 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 187 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 188 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 189 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 190 && Fitness individual 0: 41348, home_venue: 0, q1: 0, q2: 0
Generation: 191 && Fitness individual 0: 40680, home_venue: 0, q1: 0, q2: 0
Generation: 192 && Fitness individual 0: 40680, home_venue: 0, q1: 0, q2: 0
Generation: 193 && Fitness individual 0: 40680, home_venue: 0, q1: 0, q2: 0
Generation: 194 && Fitness individual 0: 40680, home_venue: 0, q1: 0, q2: 0
Generation: 195 && Fitness individual 0: 40680, home_venue: 0, q1: 0, q2: 0
Generation: 196 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 197 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 198 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 199 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 200 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 201 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 202 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 203 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 204 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 205 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 206 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 207 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 208 && Fitness individual 0: 40029, home_venue: 0, q1: 0, q2: 0
Generation: 209 && Fitness individual 0: 40005, home_venue: 0, q1: 0, q2: 0
Generation: 210 && Fitness individual 0: 40005, home_venue: 0, q1: 0, q2: 0
Generation: 211 && Fitness individual 0: 40005, h
